,State,Crop_Year,Crop,Annual_Rainfall,Yield
0,Andhra Pradesh,1997,GroundnutGroundnut,1855.0,2.0700216449999997
1,Andhra Pradesh,1998,GroundnutGroundnut,2096.6,2.465909091
2,Andhra Pradesh,1999,GroundnutGroundnut,1300.8,2.301363636
3,Andhra Pradesh,2000,GroundnutGroundnut,1871.2,2.572272727
4,Andhra Pradesh,2001,GroundnutGroundnut,1856.8,2.595454545
5,Andhra Pradesh,2002,GroundnutGroundnut,1296.2,2.263181818
6,Andhra Pradesh,2003,GroundnutGroundnut,1652.0,2.481818182
7,Andhra Pradesh,2004,GroundnutGroundnut,1563.6,2.734090909
8,Andhra Pradesh,2005,GroundnutGroundnut,2151.0,3.044545455
9,Andhra Pradesh,2006,GroundnutGroundnut,1690.4,2.8545454550000002
10,Andhra Pradesh,2007,GroundnutGroundnut,2008.4,3.303809524
11,Andhra Pradesh,2008,GroundnutGroundnut,1889.2,3.0777272730000003
12,Andhra Pradesh,2009,GroundnutGroundnut,1422.0,3.120454545
13,Andhra Pradesh,2010,GroundnutGroundnut,2594.0,3.08491342
14,Andhra Pradesh,2011,GroundnutGroundnut,1723.8,3.150411255
15,Andhra Pradesh,2012,GroundnutGroundnut,1937.4,3.311238095
16,Andhra Pradesh,2013,GroundnutGroundnut,2124.6,3.905384615
17,Andhra Pradesh,2014,GroundnutGroundnut,1375.2,4.097692307
18,Andhra Pradesh,2015,GroundnutGroundnut,1881.4,4.404615385
19,Andhra Pradesh,2016,GroundnutGroundnut,1780.0,4.51
20,Andhra Pradesh,2017,GroundnutGroundnut,1736.4,4.771538462
21,Andhra Pradesh,2018,GroundnutGroundnut,2441.0,4.6850000000000005
22,Andhra Pradesh,2019,GroundnutGroundnut,1798.4,5.067692307
23,Arunachal Pradesh,1997,Groundnut,2274.9,0.874615385
24,Arunachal Pradesh,1998,Groundnut,3616.7,0.751538462
25,Arunachal Pradesh,2016,Groundnut,2933.7,1.177142857
26,Arunachal Pradesh,2017,Groundnut,2745.5,1.265
27,Arunachal Pradesh,2018,Groundnut,2992.9,1.265
28,Arunachal Pradesh,2019,Groundnut,2433.3,1.26
29,Bihar,1997,Groundnut,1303.7,1.125384615
30,Bihar,1998,Groundnut,1332.5,1.008823529
31,Bihar,1999,Groundnut,1402.7,1.00625
32,Bihar,2000,Groundnut,1207.0,1.094
33,Bihar,2001,Groundnut,1247.0,0.577142857
34,Bihar,2002,Groundnut,1105.8,0.491428571
35,Bihar,2003,Groundnut,1353.9,0.441111111
36,Bihar,2004,Groundnut,1147.8,0.496666667
37,Bihar,2005,Groundnut,907.8,0.495
38,Bihar,2007,Groundnut,1600.2,0.683333333
39,Bihar,2008,Groundnut,1197.7,0.495
40,Bihar,2010,Groundnut,629.2,1.015714286
41,Bihar,2011,Groundnut,1097.1,1.0075
42,Bihar,2012,Groundnut,924.1,1.01125
43,Bihar,2013,Groundnut,1069.9,1.01
44,Bihar,2014,Groundnut,1061.0,1.017142857
45,Bihar,2015,Groundnut,874.0,1.0075
46,Bihar,2016,Groundnut,1205.6,1.006666667
47,Bihar,2017,Groundnut,1112.0,1.0125
48,Bihar,2018,Groundnut,1521.4,1.006666667
49,Bihar,2019,Groundnut,1194.7,1.008
50,Chhattisgarh,2000,Groundnut,896.4,0.924375
51,Chhattisgarh,2001,Groundnut,1550.0,1.31375
52,Chhattisgarh,2002,Groundnut,1001.4,1.196875
53,Chhattisgarh,2003,Groundnut,1643.7,1.069333333
54,Chhattisgarh,2004,Groundnut,1122.8,1.20125
55,Chhattisgarh,2005,Groundnut,1292.7,1.158666667
56,Chhattisgarh,2006,Groundnut,1317.2,1.545882353
57,Chhattisgarh,2007,Groundnut,1246.2,1.35
58,Chhattisgarh,2008,Groundnut,1117.9,1.334705882
59,Chhattisgarh,2009,Groundnut,956.9,1.33125
60,Chhattisgarh,2010,Groundnut,1283.1,1.33875
61,Chhattisgarh,2011,Groundnut,1302.7,1.29
62,Chhattisgarh,2012,Groundnut,1366.8,1.467826087
63,Chhattisgarh,2013,Groundnut,1418.3,1.331818182
64,Chhattisgarh,2014,Groundnut,1274.7,1.434285714
65,Chhattisgarh,2015,Groundnut,1136.0,1.253333333
66,Chhattisgarh,2016,Groundnut,1298.9,1.67375
67,Chhattisgarh,2017,Groundnut,1124.5,1.26047619
68,Chhattisgarh,2018,Groundnut,1515.5,1.183043478
69,Chhattisgarh,2019,Groundnut,1420.3,1.49
70,Goa,1997,GroundnutGroundnut,7360.6,3.435
71,Goa,1998,GroundnutGroundnut,5929.8,3.21
72,Goa,1999,GroundnutGroundnut,7758.6,3.23
73,Goa,2000,GroundnutGroundnut,7773.8,3.4000000000000004
74,Goa,2001,GroundnutGroundnut,5061.2,2.5100000000000002
75,Goa,2002,GroundnutGroundnut,5032.6,3.26
76,Goa,2003,GroundnutGroundnut,6023.2,2.92
77,Goa,2004,Groundnut,2518.0,1.815
78,Goa,2005,Groundnut,3392.8,2.03
79,Goa,2006,Groundnut,2928.8,1.495
80,Goa,2007,Groundnut,3674.7,1.855
81,Goa,2008,GroundnutGroundnut,6543.2,2.7800000000000002
82,Goa,2009,GroundnutGroundnut,6669.8,4.4
83,Goa,2010,GroundnutGroundnut,8386.6,5.445
84,Goa,2011,GroundnutGroundnut,6680.79091,5.34
85,Goa,2012,GroundnutGroundnut,6097.8,4.9
86,Goa,2013,GroundnutGroundnut,7285.2,4.695
87,Goa,2014,GroundnutGroundnut,6982.4,3.9
