,Year,Crop,Area,Production,Yield,Annual Temp
0,1997,GroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnut,5321839.0,5003168,20.583890606,25.35
1,1998,GroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnut,7309299.0,9035098,27.904968291,25.72
2,1999,GroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnut,6797635.0,5424271,29.851159522,25.57
3,2000,GroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnut,6483421.0,6318364,28.544469358,25.53
4,2001,GroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnut,5988911.0,6720962,28.686919615,25.6
5,2002,GroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnut,5688112.0,3951615,26.386802504,25.74
6,2003,GroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnut,5758885.0,7782738,27.173790858,25.61
7,2004,GroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnut,6322851.0,6155692,29.393734045,25.65
8,2005,GroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnut,6313904.0,7330148,31.270237496,25.58
9,2006,GroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnut,5390718.0,4830623,29.643274926,25.72
10,2007,GroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnutGroundnut,6016699.0,8686959,38.110732341,25.67
