,State,Crop_Year,Crop,Annual_Rainfall,Yield
0,Andhra Pradesh,1997,MaizeMaize,1855.0,5.411818181999999
1,Andhra Pradesh,1998,MaizeMaize,2096.6,6.7245454549999994
2,Andhra Pradesh,1999,MaizeMaize,1300.8,7.303852814000001
3,Andhra Pradesh,2000,MaizeMaize,1871.2,7.5840909100000005
4,Andhra Pradesh,2001,MaizeMaize,1856.8,8.394675325
5,Andhra Pradesh,2002,MaizeMaize,1296.2,7.093636363
6,Andhra Pradesh,2003,MaizeMaize,1652.0,7.502727273
7,Andhra Pradesh,2004,MaizeMaize,1563.6,8.055259741
8,Andhra Pradesh,2005,MaizeMaize,2151.0,9.835909091
9,Andhra Pradesh,2006,MaizeMaize,1690.4,9.305909091
10,Andhra Pradesh,2007,MaizeMaize,2008.4,10.4585
11,Andhra Pradesh,2008,MaizeMaize,1889.2,10.554545455
12,Andhra Pradesh,2009,MaizeMaize,1422.0,9.192272727
13,Andhra Pradesh,2010,MaizeMaize,2594.0,10.895454546
14,Andhra Pradesh,2011,MaizeMaize,1723.8,9.86
15,Andhra Pradesh,2012,MaizeMaize,1937.4,10.160497836000001
16,Andhra Pradesh,2013,MaizeMaize,2124.6,10.919230769
17,Andhra Pradesh,2014,MaizeMaize,1375.2,10.928461539
18,Andhra Pradesh,2015,MaizeMaize,1881.4,9.792307692
19,Andhra Pradesh,2016,MaizeMaize,1780.0,10.401538462
20,Andhra Pradesh,2017,MaizeMaize,1736.4,11.998461538
21,Andhra Pradesh,2018,MaizeMaize,2441.0,9.505384615
22,Andhra Pradesh,2019,MaizeMaize,1798.4,11.351538461
23,Arunachal Pradesh,1997,Maize,2274.9,1.686923077
24,Arunachal Pradesh,1998,Maize,3616.7,1.458461538
25,Arunachal Pradesh,1999,Maize,2338.6,1.516923077
26,Arunachal Pradesh,2000,Maize,2157.7,1.478461538
27,Arunachal Pradesh,2001,Maize,2128.5,1.455384615
28,Arunachal Pradesh,2002,Maize,2832.8,1.402
29,Arunachal Pradesh,2003,Maize,2782.2,1.446666667
30,Arunachal Pradesh,2004,Maize,2939.5,1.495
31,Arunachal Pradesh,2005,Maize,2767.0,1.4125
32,Arunachal Pradesh,2006,Maize,1940.0,1.439375
33,Arunachal Pradesh,2007,Maize,3223.9,1.4625
34,Arunachal Pradesh,2008,Maize,2244.4,1.459375
35,Arunachal Pradesh,2009,Maize,1701.9,1.47875
36,Arunachal Pradesh,2010,Maize,2574.1,1.515625
37,Arunachal Pradesh,2011,Maize,2193.7,1.554375
38,Arunachal Pradesh,2012,Maize,2760.7,1.5375
39,Arunachal Pradesh,2013,Maize,2042.9,1.607647059
40,Arunachal Pradesh,2014,Maize,2403.2,1.752941176
41,Arunachal Pradesh,2015,Maize,2593.2,1.687
42,Arunachal Pradesh,2016,Maize,2933.7,1.584
43,Arunachal Pradesh,2017,Maize,2745.5,1.628
44,Arunachal Pradesh,2018,Maize,2992.9,1.659090909
45,Arunachal Pradesh,2019,Maize,2433.3,1.6756
46,Assam,1997,Maize,2051.4,0.615652174
47,Assam,1998,Maize,2354.4,0.608695652
48,Assam,1999,Maize,2201.8,0.613913043
49,Assam,2000,Maize,1965.5,0.605652174
50,Assam,2001,Maize,1824.7,0.608695652
51,Assam,2002,Maize,1973.6,0.606086957
52,Assam,2003,Maize,2213.7,0.607391304
53,Assam,2005,Maize,2184.6,0.635925926
54,Assam,2006,Maize,1774.9,0.6252
55,Assam,2007,Maize,2154.1,0.60962963
56,Assam,2008,Maize,2109.9,0.595555556
57,Assam,2009,Maize,1727.1,0.617407407
58,Assam,2010,Maize,2578.5,0.61
59,Assam,2011,Maize,1743.4,0.693333333
60,Assam,2012,Maize,2167.5,0.771481481
61,Assam,2013,Maize,1797.7,3.53037037
62,Assam,2014,Maize,1899.0,2.96962963
63,Assam,2015,Maize,2155.3,2.514074074
64,Assam,2016,Maize,2296.8,2.545925926
65,Assam,2017,Maize,2098.563636,2.989259259
66,Assam,2018,Maize,2372.9,2.868518519
67,Assam,2019,Maize,2084.7,3.155555556
68,Bihar,1997,MaizeMaizeMaize,3911.1000000000004,6.0889330489999995
69,Bihar,1998,MaizeMaizeMaize,3997.5,6.286215213
70,Bihar,1999,MaizeMaizeMaize,4208.1,7.055272727
71,Bihar,2000,MaizeMaizeMaize,3621.0,7.067490348
72,Bihar,2001,MaizeMaizeMaize,3741.0,7.149115479000001
73,Bihar,2002,MaizeMaizeMaize,3317.3999999999996,6.920540540999999
74,Bihar,2003,MaizeMaizeMaize,4061.7000000000003,7.380945946
75,Bihar,2004,MaizeMaizeMaize,3443.3999999999996,7.748206259
76,Bihar,2005,MaizeMaizeMaize,2723.3999999999996,6.756432748
77,Bihar,2006,MaizeMaizeMaize,3158.3999999999996,8.180307807
78,Bihar,2007,MaizeMaizeMaize,4800.6,8.276280284
79,Bihar,2008,MaizeMaizeMaize,3593.1000000000004,7.982734753999999
80,Bihar,2009,MaizeMaizeMaize,2667.8999999999996,7.084026316
81,Bihar,2010,MaizeMaizeMaize,1887.6000000000001,9.271806962
82,Bihar,2011,MaizeMaizeMaize,3291.2999999999997,10.753363805
83,Bihar,2012,MaizeMaizeMaize,2772.3,11.959984557
84,Bihar,2013,MaizeMaizeMaize,3209.7000000000003,11.687321145
85,Bihar,2014,MaizeMaizeMaize,3183.0,9.975452681
86,Bihar,2015,MaizeMaizeMaize,2622.0,10.200589072
87,Bihar,2016,MaizeMaizeMaize,3616.7999999999997,13.199307944000001
88,Bihar,2017,MaizeMaizeMaize,3336.0,12.306082571000001
89,Bihar,2018,MaizeMaizeMaize,4564.200000000001,11.129232396999999
90,Bihar,2019,MaizeMaizeMaize,3584.1000000000004,12.290753676
91,Chhattisgarh,2000,Maize,896.4,1.168125
92,Chhattisgarh,2001,Maize,1550.0,0.75375
93,Chhattisgarh,2002,Maize,1001.4,1.279375
94,Chhattisgarh,2003,Maize,1643.7,1.20625
95,Chhattisgarh,2004,Maize,1122.8,1.343125
96,Chhattisgarh,2005,Maize,1292.7,1.088125
97,Chhattisgarh,2006,Maize,1317.2,1.048888889
98,Chhattisgarh,2007,Maize,1246.2,1.468333333
99,Chhattisgarh,2008,Maize,1117.9,1.263888889
100,Chhattisgarh,2009,Maize,956.9,1.412777778
101,Chhattisgarh,2010,Maize,1283.1,1.733888889
102,Chhattisgarh,2011,Maize,1302.7,1.542592593
103,Chhattisgarh,2012,Maize,1366.8,1.844814815
104,Chhattisgarh,2013,MaizeMaizeMaize,4254.9,7.361481481
105,Chhattisgarh,2014,Maize,1274.7,1.803333333
106,Chhattisgarh,2015,Maize,1136.0,1.733333333
107,Chhattisgarh,2016,Maize,1298.9,2.348518519
108,Chhattisgarh,2017,Maize,1124.5,2.26037037
109,Chhattisgarh,2018,Maize,1515.5,2.280740741
110,Chhattisgarh,2019,Maize,1420.3,2.808214286
111,Delhi,1998,Maize,784.5,0.8
112,Delhi,1999,Maize,365.9,0.72
113,Delhi,2000,Maize,544.3,1.64
114,Delhi,2001,Maize,611.9,1.79
115,Delhi,2002,Maize,593.6,2.43
116,Delhi,2003,Maize,962.3,1.98
117,Delhi,2004,Maize,651.9,1.52
118,Delhi,2005,Maize,653.1,1.82
119,Delhi,2006,Maize,462.7,1.82
120,Delhi,2007,Maize,677.5,1.83
121,Delhi,2008,Maize,614.6,1.83
122,Delhi,2009,Maize,528.4,21.96
123,Delhi,2010,Maize,989.5,21.95
124,Delhi,2011,Maize,641.3954545,22.18
125,Delhi,2012,Maize,451.9,22.38
126,Delhi,2013,Maize,706.8,22.38
127,Delhi,2014,Maize,416.4,22.37
128,Delhi,2015,Maize,757.7,5.12
129,Delhi,2016,Maize,747.1,5.12
130,Delhi,2017,Maize,533.7,4.83
131,Delhi,2018,Maize,678.5,5.1
132,Delhi,2019,Maize,546.9,5.1
133,Gujarat,1997,Maize,798.9,1.690666667
134,Gujarat,1998,Maize,775.6,1.649411765
135,Gujarat,1999,Maize,458.9,1.324117647
136,Gujarat,2000,Maize,379.7,0.8175
137,Gujarat,2001,Maize,666.5,2.108666667
138,Gujarat,2002,Maize,458.4,1.671875
139,Gujarat,2003,Maize,902.5,1.825
140,Gujarat,2004,Maize,719.8,1.0375
141,Gujarat,2005,Maize,942.4,1.618125
142,Gujarat,2006,Maize,1056.2,0.529375
143,Gujarat,2007,Maize,1021.6,1.401176471
144,Gujarat,2008,Maize,746.1,1.478333333
145,Gujarat,2009,Maize,618.0,1.008
146,Gujarat,2010,MaizeMaizeMaize,3322.5,5.5761892710000005
147,Gujarat,2011,MaizeMaizeMaize,2671.5,5.285220779
148,Gujarat,2012,MaizeMaizeMaize,1381.8000000000002,5.246888889
149,Gujarat,2013,MaizeMaizeMaize,3019.5,5.359714286
150,Gujarat,2014,MaizeMaizeMaize,1816.8000000000002,5.226323052
151,Gujarat,2015,MaizeMaizeMaize,1752.8999999999999,5.629805195
152,Gujarat,2016,MaizeMaizeMaize,2131.5,6.030974026
153,Gujarat,2017,MaizeMaizeMaize,2444.3999999999996,6.166204906
154,Gujarat,2018,MaizeMaizeMaize,3376.2000000000003,6.310764411
155,Gujarat,2019,MaizeMaizeMaize,3203.3999999999996,6.348826839999999
156,Haryana,1997,Maize,661.2,1.9725
157,Haryana,1998,Maize,687.6,0.938235294
158,Haryana,1999,Maize,344.0,0.812631579
159,Haryana,2000,Maize,383.7,0.740555556
160,Haryana,2001,Maize,483.8,1.051764706
161,Haryana,2002,Maize,353.9,0.478333333
162,Haryana,2003,Maize,592.3,0.960588235
163,Haryana,2004,Maize,484.6,0.746875
164,Haryana,2005,Maize,516.9,0.4965
165,Haryana,2006,Maize,329.3,0.520625
166,Haryana,2007,Maize,443.8,0.979375
167,Haryana,2008,Maize,715.6,1.152222222
168,Haryana,2009,Maize,393.0,0.940555556
169,Haryana,2010,Maize,639.2,0.8175
170,Haryana,2011,Maize,471.5409091,1.145
171,Haryana,2012,Maize,307.9,1.236
172,Haryana,2013,Maize,452.2,3.2
173,Haryana,2014,Maize,301.3,2.0
174,Haryana,2015,Maize,426.8,2.93
175,Haryana,2016,Maize,554.7,3.132222222
176,Haryana,2017,Maize,417.1,2.711
177,Haryana,2018,Maize,533.2,3.206
178,Haryana,2019,Maize,351.8,3.085263158
179,Himachal Pradesh,1998,Maize,1381.6,2.23
180,Himachal Pradesh,1999,Maize,1144.9,2.324166667
181,Himachal Pradesh,2000,Maize,1068.4,2.3325
182,Himachal Pradesh,2001,Maize,918.1,2.463333333
183,Himachal Pradesh,2002,Maize,890.8,1.6075
184,Himachal Pradesh,2003,Maize,1112.6,2.503333333
185,Himachal Pradesh,2004,Maize,939.2,2.1625
186,Himachal Pradesh,2005,Maize,1248.1,1.913333333
187,Himachal Pradesh,2006,Maize,1207.0,2.363333333
188,Himachal Pradesh,2007,Maize,1095.4,2.303333333
189,Himachal Pradesh,2008,Maize,1357.1,2.304166667
190,Himachal Pradesh,2009,Maize,969.9,2.08
191,Himachal Pradesh,2010,Maize,1319.8,2.593333333
192,Himachal Pradesh,2011,Maize,1108.3,2.435
193,Himachal Pradesh,2012,Maize,1035.0,2.4975
194,Himachal Pradesh,2013,Maize,1216.9,2.336666667
195,Himachal Pradesh,2014,Maize,1019.9,1.985
196,Himachal Pradesh,2015,Maize,1223.2,2.868333333
197,Himachal Pradesh,2016,Maize,1373.9,2.094166667
198,Himachal Pradesh,2017,Maize,1182.2,2.886666667
199,Himachal Pradesh,2018,Maize,1052.2,2.600833333
200,Himachal Pradesh,2019,Maize,1217.7,2.630833333
201,Jammu and Kashmir,1997,Maize,1356.2,1.285
202,Jammu and Kashmir,1999,Maize,667.1,1.288333333
203,Jammu and Kashmir,2000,Maize,989.5,1.490833333
204,Jammu and Kashmir,2001,Maize,953.8,1.493333333
205,Jammu and Kashmir,2002,Maize,933.2,1.3475
