,Year,Crop,Area,Production,Yield,Annual Temp
0,1997,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,4882848.0,8810504,1044.295066328,25.35
1,1998,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,4895988.0,9312283,56.42291074,25.72
2,1999,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,5542914.0,10604929,57.361891215,25.57
3,2000,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,5587217.0,10961556,62.531353011,25.53
4,2001,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,5339202.0,11194000,65.168461306,25.6
5,2002,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,5586452.33,10154436,62.913201723,25.74
6,2003,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,6016937.91,12569340,70.712368256,25.61
7,2004,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,6216055.15,12557854,77.317291695,25.65
8,2005,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,6446694.36,13660119,76.182188706,25.58
9,2006,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,6648386.78,13612680,80.751952451,25.72
