,Year,Area,Production,Yield,Annual Temp
0,1997,1424493.0,536008,4.292316074,25.35
1,1998,2210760.0,951073,7.926505536,25.72
2,1999,2692895.0,1163678,10.523782374,25.57
3,2000,2523547.0,951385,11.622643755,25.53
4,2001,2112018.27,760419,12.752542427,25.6
5,2002,2432658.0,836976,13.457297901999999,25.74
6,2003,2617918.0,1150355,15.437624645,25.61
7,2004,2429342.0,792509,12.852604023,25.65
8,2005,2186739.0,811903,15.106825296,25.58
9,2006,2304232.0,787005,13.533131645000001,25.72
10,2007,2561031.0,1067170,14.188255823,25.67
11,2008,1853125.0,624446,14.39252505,25.55
12,2009,2080784.0,596735,16.137143174,26.05
13,2010,2457533.0,1140083,20.454928363,26.03
14,2011,2039990.0,956547,17.62016725,25.62
15,2012,1782154.0,847554,19.116725792,25.6
16,2013,2111370.0,1035668,22.271184376,25.68
17,2014,1960377.0,924015,21.745049314,25.73
18,2015,2727998.0,1435775,23.857853841,25.92
19,2016,2411785.0,1187171,23.558259097,26.2
20,2017,2492248.0,1386066,27.45768707,26.04
21,2018,2123066.0,998642,26.247205307,25.9
22,2019,2403034.0,1549295,26.701971742,25.86
23,2020,17.0,11,1.641666667,25.78
