,State,Crop_Year,Crop,Annual_Rainfall,Yield
0,Andhra Pradesh,1997,UradUrad,1855.0,0.640625
1,Andhra Pradesh,1998,UradUrad,2096.6,1.202941176
2,Andhra Pradesh,1999,UradUrad,1300.8,1.115894737
3,Andhra Pradesh,2000,UradUrad,1871.2,0.816954545
4,Andhra Pradesh,2001,UradUrad,1856.8,0.827640693
5,Andhra Pradesh,2002,UradUrad,1296.2,0.627121212
6,Andhra Pradesh,2003,UradUrad,1652.0,1.064363636
7,Andhra Pradesh,2004,UradUrad,1563.6,1.082583732
8,Andhra Pradesh,2005,UradUrad,2151.0,1.005814537
9,Andhra Pradesh,2006,UradUrad,1690.4,1.133110048
10,Andhra Pradesh,2007,UradUrad,2008.4,1.134375
11,Andhra Pradesh,2008,UradUrad,1889.2,1.080526316
12,Andhra Pradesh,2009,UradUrad,1422.0,0.9014523809999999
13,Andhra Pradesh,2010,UradUrad,2594.0,1.046666667
14,Andhra Pradesh,2011,UradUrad,1723.8,1.155595238
15,Andhra Pradesh,2012,UradUrad,1937.4,1.524
16,Andhra Pradesh,2013,UradUrad,2124.6,1.483846154
17,Andhra Pradesh,2014,UradUrad,1375.2,2.061538461
18,Andhra Pradesh,2015,UradUrad,1881.4,1.5861538460000002
19,Andhra Pradesh,2016,UradUrad,1780.0,1.432307692
20,Andhra Pradesh,2017,UradUrad,1736.4,1.7815384619999999
21,Andhra Pradesh,2018,UradUrad,2441.0,1.536923077
22,Andhra Pradesh,2019,UradUrad,1798.4,1.7792307699999999
23,Arunachal Pradesh,2016,UradUrad,5867.4,1.681666666
24,Arunachal Pradesh,2017,UradUrad,5491.0,1.909444444
25,Arunachal Pradesh,2018,UradUrad,5985.8,2.0505
26,Arunachal Pradesh,2019,UradUrad,4866.6,2.087826087
27,Assam,2001,Urad,1824.7,0.55173913
28,Assam,2002,Urad,1973.6,0.498695652
29,Assam,2003,Urad,2213.7,0.519130435
30,Assam,2004,Urad,2536.9,0.56173913
31,Assam,2005,Urad,2184.6,0.488888889
32,Assam,2006,Urad,1774.9,0.507777778
33,Assam,2007,Urad,2154.1,0.531111111
34,Assam,2008,Urad,2109.9,0.600740741
35,Assam,2009,Urad,1727.1,0.565925926
36,Assam,2010,Urad,2578.5,0.577037037
37,Assam,2011,Urad,1743.4,0.565555556
38,Assam,2012,Urad,2167.5,0.546666667
39,Assam,2013,Urad,1797.7,0.575925926
40,Assam,2014,Urad,1899.0,0.634444444
41,Assam,2015,Urad,2155.3,0.667777778
42,Assam,2016,Urad,2296.8,0.687407407
43,Assam,2017,Urad,2098.563636,0.650740741
44,Assam,2018,Urad,2372.9,0.668518519
45,Assam,2019,Urad,2084.7,0.618888889
46,Bihar,1998,Urad,1332.5,0.751612903
47,Bihar,1999,Urad,1402.7,0.7275
48,Bihar,2000,Urad,1207.0,0.6309375
49,Bihar,2001,Urad,1247.0,0.666333333
50,Bihar,2002,Urad,1105.8,0.751612903
51,Bihar,2003,Urad,1353.9,0.747878788
52,Bihar,2004,Urad,1147.8,0.742285714
53,Bihar,2005,Urad,907.8,0.792571429
54,Bihar,2006,Urad,1052.8,0.769411765
55,Bihar,2007,Urad,1600.2,0.807878788
56,Bihar,2008,Urad,1197.7,0.747352941
57,Bihar,2009,Urad,889.3,0.992058824
58,Bihar,2010,Urad,629.2,0.8775
59,Bihar,2011,Urad,1097.1,0.899666667
60,Bihar,2012,Urad,924.1,0.903666667
61,Bihar,2013,Urad,1069.9,0.918387097
62,Bihar,2014,Urad,1061.0,0.917407407
63,Bihar,2015,Urad,874.0,0.906785714
64,Bihar,2016,Urad,1205.6,0.904137931
65,Bihar,2017,Urad,1112.0,0.884814815
66,Bihar,2018,Urad,1521.4,0.892307692
67,Bihar,2019,Urad,1194.7,0.890833333
68,Chhattisgarh,2000,UradUrad,1792.8,0.493333333
69,Chhattisgarh,2001,UradUrad,3100.0,0.5702083330000001
70,Chhattisgarh,2002,UradUrad,2002.8,0.490208333
71,Chhattisgarh,2003,UradUrad,3287.4,0.565833333
72,Chhattisgarh,2004,UradUrad,2245.6,0.523557692
73,Chhattisgarh,2005,UradUrad,2585.4,0.51875
74,Chhattisgarh,2006,UradUrad,2634.4,0.6121367520000001
75,Chhattisgarh,2007,UradUrad,2492.4,0.564615385
76,Chhattisgarh,2008,UradUrad,2235.8,0.535042735
77,Chhattisgarh,2009,UradUrad,1913.8,0.522307692
78,Chhattisgarh,2010,UradUrad,2566.2,0.524188034
79,Chhattisgarh,2011,UradUrad,2605.4,0.553820663
80,Chhattisgarh,2012,UradUrad,2733.6,0.625
81,Chhattisgarh,2013,UradUrad,2836.6,0.61491228
82,Chhattisgarh,2014,UradUrad,2549.4,0.607936508
83,Chhattisgarh,2015,UradUrad,2272.0,0.586772487
84,Chhattisgarh,2016,UradUrad,2597.8,0.6444973549999999
85,Chhattisgarh,2017,UradUrad,2249.0,0.608018519
86,Chhattisgarh,2018,UradUrad,3031.0,0.6552020199999999
87,Chhattisgarh,2019,UradUrad,2840.6,0.641028571
88,Gujarat,1997,Urad,798.9,0.654705882
89,Gujarat,1998,Urad,775.6,0.592941176
90,Gujarat,1999,Urad,458.9,0.32625
91,Gujarat,2000,Urad,379.7,0.32875
92,Gujarat,2001,Urad,666.5,0.608888889
93,Gujarat,2002,Urad,458.4,0.396111111
94,Gujarat,2003,Urad,902.5,0.666521739
95,Gujarat,2004,Urad,719.8,0.5316
96,Gujarat,2005,Urad,942.4,0.733913043
97,Gujarat,2006,Urad,1056.2,0.510833333
98,Gujarat,2007,Urad,1021.6,0.6992
99,Gujarat,2008,Urad,746.1,0.6692
100,Gujarat,2009,Urad,618.0,0.610384615
101,Gujarat,2010,UradUrad,2215.0,1.434807692
102,Gujarat,2011,UradUrad,1781.0,1.5264000000000002
103,Gujarat,2012,UradUrad,921.2,1.829583333
104,Gujarat,2013,UradUrad,2013.0,1.2147999999999999
105,Gujarat,2014,UradUrad,1211.2,1.450625
106,Gujarat,2015,UradUrad,1168.6,1.366145833
107,Gujarat,2016,UradUrad,1421.0,1.464270833
108,Gujarat,2017,UradUrad,1629.6,1.478125
109,Gujarat,2018,UradUrad,2250.8,2.105625
110,Gujarat,2019,UradUrad,2135.6,2.28125
111,Haryana,1998,Urad,687.6,0.151
112,Haryana,1999,Urad,344.0,1.24
113,Haryana,2000,Urad,383.7,0.115833333
114,Haryana,2001,Urad,483.8,0.101666667
115,Haryana,2002,Urad,353.9,0.042857143
116,Haryana,2003,Urad,592.3,0.042857143
117,Haryana,2004,Urad,484.6,0.145384615
118,Haryana,2005,Urad,516.9,0.193846154
119,Haryana,2006,Urad,329.3,0.218666667
120,Haryana,2007,Urad,443.8,0.314545455
121,Haryana,2008,Urad,715.6,0.258181818
122,Haryana,2009,Urad,393.0,0.25875
123,Haryana,2010,Urad,639.2,0.351
124,Haryana,2011,Urad,471.5409091,0.162307692
125,Haryana,2012,Urad,307.9,0.3225
126,Haryana,2013,Urad,452.2,0.45
127,Haryana,2014,Urad,301.3,0.358
128,Haryana,2015,Urad,426.8,0.365
129,Haryana,2016,Urad,554.7,1.5825
130,Haryana,2017,Urad,417.1,0.32
131,Haryana,2018,Urad,533.2,0.615
132,Haryana,2019,Urad,351.8,0.538333333
133,Himachal Pradesh,1998,Urad,1381.6,0.512727273
134,Himachal Pradesh,1999,Urad,1144.9,0.495454545
135,Himachal Pradesh,2000,Urad,1068.4,0.401818182
