,Year,Area,Production,Yield,Annual Temp
0,1997,1802652.0,785671,7.0906746290000005,25.35
1,1998,2155362.0,1106135,8.913467229,25.72
2,1999,3073278.0,1403252,11.087844461,25.57
3,2000,2618695.0,1218233,9.41826848,25.53
4,2001,2629306.0,1237943,12.019942291,25.6
5,2002,2686156.0,1229398,10.863699378,25.74
6,2003,3140324.0,1303139,11.370723696,25.61
7,2004,2366180.0,980587,14.489162973,25.65
8,2005,2211386.0,947185,19.921030322,25.58
9,2006,2360629.0,1094232,14.368253598999999,25.72
10,2007,3038239.0,1352847,17.143152575000002,25.67
11,2008,2464262.0,1097429,18.347475051,25.55
12,2009,2784359.0,1157724,17.068098398,26.05
13,2010,3011074.0,1588657,20.104215836,26.03
14,2011,2952769.0,1604378,20.478876894,25.62
15,2012,2798236.0,1603191,22.74773637,25.6
16,2013,2671192.0,1493008,22.800690724,25.68
17,2014,2900127.0,1747949,23.435327724,25.73
18,2015,3275011.0,1738446,24.671792112,25.92
19,2016,3850438.0,2573438,29.236125317,26.2
20,2017,4436745.0,3408952,29.695981805,26.04
21,2018,4822446.0,2624202,29.703138011,25.9
22,2019,4042663.0,1959217,30.817236202,25.86
23,2020,12456.0,13351,2.3141025639999997,25.78
